,Jugador 1,Jugador 2,Resultado
114,Papel,Piedra,Gana Jugador 1
115,Piedra,Papel,Gana Jugador 2
116,Papel,Tijera,Gana Jugador 2
117,Tijera,Papel,Gana Jugador 1
118,Piedra,Piedra,Empate
119,Papel,Papel,Empate
120,Piedra,Piedra,Empate
121,Tijera,Tijera,Empate
122,Tijera,Papel,Gana Jugador 1
123,Piedra,Piedra,Empate
124,Tijera,Tijera,Empate
125,Papel,Tijera,Gana Jugador 2
126,Papel,Piedra,Gana Jugador 1
127,Tijera,Piedra,Gana Jugador 2
128,Piedra,Papel,Gana Jugador 2
129,Papel,Tijera,Gana Jugador 2
130,Tijera,Tijera,Empate
131,Tijera,Papel,Gana Jugador 1
132,Tijera,Tijera,Empate
133,Piedra,Piedra,Empate
134,Piedra,Papel,Gana Jugador 2
135,Papel,Papel,Empate
136,Tijera,Tijera,Empate
137,Piedra,Piedra,Empate
138,Piedra,Piedra,Empate
139,Tijera,Piedra,Gana Jugador 2
140,Papel,Piedra,Gana Jugador 1
141,Piedra,Piedra,Empate
142,Piedra,Piedra,Empate
143,Piedra,Papel,Gana Jugador 2
144,Papel,Piedra,Gana Jugador 1
145,Piedra,Piedra,Empate
146,Tijera,Tijera,Empate
147,Papel,Piedra,Gana Jugador 1
148,Papel,Piedra,Gana Jugador 1
149,Papel,Papel,Empate
150,Tijera,Piedra,Gana Jugador 2
151,Tijera,Piedra,Gana Jugador 2
152,Papel,Piedra,Gana Jugador 1
153,Tijera,Papel,Gana Jugador 1
154,Tijera,Piedra,Gana Jugador 2
155,Papel,Piedra,Gana Jugador 1
156,Papel,Papel,Empate
157,Piedra,Tijera,Gana Jugador 1
158,Piedra,Tijera,Gana Jugador 1
159,Piedra,Piedra,Empate
160,Tijera,Tijera,Empate
161,Tijera,Papel,Gana Jugador 1
162,Piedra,Piedra,Empate
163,Papel,Papel,Empate
164,Tijera,Tijera,Empate
165,Papel,Piedra,Gana Jugador 1
166,Tijera,Papel,Gana Jugador 1
167,Papel,Tijera,Gana Jugador 2
168,Tijera,Piedra,Gana Jugador 2
169,Piedra,Piedra,Empate
170,Piedra,Tijera,Gana Jugador 1
171,Piedra,Papel,Gana Jugador 2
172,Papel,Papel,Empate
173,Piedra,Papel,Gana Jugador 2
174,Papel,Papel,Empate
175,Papel,Tijera,Gana Jugador 2
176,Papel,Piedra,Gana Jugador 1
177,Papel,Tijera,Gana Jugador 2
178,Piedra,Papel,Gana Jugador 2
179,Papel,Piedra,Gana Jugador 1
180,Piedra,Tijera,Gana Jugador 1
181,Papel,Papel,Empate
182,Papel,Papel,Empate
183,Papel,Papel,Empate
184,Papel,Piedra,Gana Jugador 1
185,Piedra,Piedra,Empate
186,Tijera,Tijera,Empate
187,Piedra,Tijera,Gana Jugador 1
188,Tijera,Tijera,Empate
189,Piedra,Tijera,Gana Jugador 1
190,Tijera,Piedra,Gana Jugador 2
191,Tijera,Piedra,Gana Jugador 2
192,Papel,Tijera,Gana Jugador 2
193,Papel,Tijera,Gana Jugador 2
194,Tijera,Tijera,Empate
195,Papel,Tijera,Gana Jugador 2
196,Tijera,Papel,Gana Jugador 1
197,Papel,Tijera,Gana Jugador 2
198,Papel,Piedra,Gana Jugador 1
199,Papel,Tijera,Gana Jugador 2
200,Tijera,Piedra,Gana Jugador 2
201,Papel,Piedra,Gana Jugador 1
202,Piedra,Papel,Gana Jugador 2
203,Papel,Piedra,Gana Jugador 1
204,Papel,Papel,Empate
205,Tijera,Papel,Gana Jugador 1
206,Piedra,Papel,Gana Jugador 2
207,Piedra,Papel,Gana Jugador 2
208,Tijera,Tijera,Empate
209,Piedra,Piedra,Empate
210,Papel,Piedra,Gana Jugador 1
211,Tijera,Tijera,Empate
212,Papel,Piedra,Gana Jugador 1
213,Papel,Tijera,Gana Jugador 2
214,Tijera,Piedra,Gana Jugador 2
215,Papel,Tijera,Gana Jugador 2
216,Piedra,Papel,Gana Jugador 2
217,Piedra,Piedra,Empate
218,Papel,Papel,Empate
219,Tijera,Papel,Gana Jugador 1
220,Papel,Piedra,Gana Jugador 1
221,Papel,Piedra,Gana Jugador 1
222,Papel,Papel,Empate
223,Piedra,Papel,Gana Jugador 2
224,Tijera,Piedra,Gana Jugador 2
225,Piedra,Papel,Gana Jugador 2
226,Tijera,Papel,Gana Jugador 1
227,Papel,Papel,Empate
228,Papel,Papel,Empate
229,Papel,Piedra,Gana Jugador 1
230,Papel,Papel,Empate
231,Papel,Tijera,Gana Jugador 2
232,Tijera,Papel,Gana Jugador 1
233,Papel,Papel,Empate
234,Tijera,Piedra,Gana Jugador 2
235,Papel,Piedra,Gana Jugador 1
236,Papel,Papel,Empate
237,Piedra,Tijera,Gana Jugador 1
238,Papel,Piedra,Gana Jugador 1
239,Papel,Papel,Empate
240,Tijera,Piedra,Gana Jugador 2
241,Papel,Tijera,Gana Jugador 2
242,Papel,Papel,Empate
243,Papel,Papel,Empate
244,Papel,Papel,Empate
245,Piedra,Tijera,Gana Jugador 1
246,Papel,Piedra,Gana Jugador 1
247,Tijera,Tijera,Empate
248,Papel,Papel,Empate
249,Piedra,Piedra,Empate
250,Piedra,Piedra,Empate
251,Papel,Tijera,Gana Jugador 2
252,Piedra,Tijera,Gana Jugador 1
253,Piedra,Piedra,Empate
254,Papel,Papel,Empate
255,Piedra,Piedra,Empate
256,Papel,Papel,Empate
257,Tijera,Tijera,Empate
258,Papel,Papel,Empate
259,Tijera,Tijera,Empate
260,Tijera,Piedra,Gana Jugador 2
261,Papel,Piedra,Gana Jugador 1
262,Tijera,Tijera,Empate
263,Papel,Papel,Empate
264,Tijera,Tijera,Empate
265,Papel,Piedra,Gana Jugador 1
266,Piedra,Papel,Gana Jugador 2
267,Tijera,Piedra,Gana Jugador 2
268,Tijera,Papel,Gana Jugador 1
269,Papel,Papel,Empate
270,Piedra,Papel,Gana Jugador 2
271,Tijera,Tijera,Empate
272,Tijera,Piedra,Gana Jugador 2
273,Papel,Piedra,Gana Jugador 1
274,Piedra,Papel,Gana Jugador 2
275,Piedra,Tijera,Gana Jugador 1
276,Piedra,Tijera,Gana Jugador 1
277,Papel,Tijera,Gana Jugador 2
278,Piedra,Piedra,Empate
279,Piedra,Papel,Gana Jugador 2
280,Piedra,Tijera,Gana Jugador 1
281,Tijera,Papel,Gana Jugador 1
282,Piedra,Tijera,Gana Jugador 1
283,Tijera,Papel,Gana Jugador 1
284,Papel,Piedra,Gana Jugador 1
285,Piedra,Papel,Gana Jugador 2
286,Tijera,Papel,Gana Jugador 1
287,Papel,Tijera,Gana Jugador 2
288,Tijera,Tijera,Empate
289,Papel,Papel,Empate
290,Papel,Papel,Empate
291,Tijera,Tijera,Empate
292,Tijera,Piedra,Gana Jugador 2
293,Piedra,Piedra,Empate
294,Piedra,Piedra,Empate
295,Piedra,Tijera,Gana Jugador 1
296,Tijera,Papel,Gana Jugador 1
297,Papel,Piedra,Gana Jugador 1
298,Papel,Papel,Empate
299,Tijera,Tijera,Empate
300,Tijera,Piedra,Gana Jugador 2
301,Piedra,Tijera,Gana Jugador 1
302,Papel,Papel,Empate
303,Papel,Piedra,Gana Jugador 1
304,Tijera,Papel,Gana Jugador 1
305,Tijera,Tijera,Empate
306,Tijera,Papel,Gana Jugador 1
307,Tijera,Papel,Gana Jugador 1
308,Piedra,Tijera,Gana Jugador 1
309,Piedra,Tijera,Gana Jugador 1
310,Papel,Tijera,Gana Jugador 2
311,Tijera,Piedra,Gana Jugador 2
312,Piedra,Tijera,Gana Jugador 1
313,Tijera,Tijera,Empate
314,Tijera,Piedra,Gana Jugador 2
315,Papel,Tijera,Gana Jugador 2
316,Papel,Piedra,Gana Jugador 1
317,Papel,Tijera,Gana Jugador 2
318,Piedra,Piedra,Empate
319,Tijera,Tijera,Empate
320,Piedra,Tijera,Gana Jugador 1
321,Papel,Papel,Empate
322,Papel,Papel,Empate
323,Tijera,Papel,Gana Jugador 1
324,Papel,Tijera,Gana Jugador 2
325,Papel,Tijera,Gana Jugador 2
326,Papel,Piedra,Gana Jugador 1
327,Tijera,Tijera,Empate
328,Tijera,Piedra,Gana Jugador 2
329,Piedra,Piedra,Empate
330,Tijera,Piedra,Gana Jugador 2
331,Tijera,Piedra,Gana Jugador 2
332,Papel,Tijera,Gana Jugador 2
333,Piedra,Papel,Gana Jugador 2
334,Piedra,Papel,Gana Jugador 2
335,Piedra,Tijera,Gana Jugador 1
336,Papel,Piedra,Gana Jugador 1
337,Tijera,Tijera,Empate
338,Piedra,Tijera,Gana Jugador 1
339,Tijera,Papel,Gana Jugador 1
340,Piedra,Papel,Gana Jugador 2
341,Piedra,Papel,Gana Jugador 2
342,Papel,Tijera,Gana Jugador 2
343,Papel,Piedra,Gana Jugador 1
344,Papel,Papel,Empate
345,Papel,Tijera,Gana Jugador 2
346,Papel,Tijera,Gana Jugador 2
347,Papel,Piedra,Gana Jugador 1
348,Tijera,Piedra,Gana Jugador 2
349,Tijera,Tijera,Empate
350,Tijera,Tijera,Empate
351,Papel,Tijera,Gana Jugador 2
352,Papel,Papel,Empate
353,Tijera,Papel,Gana Jugador 1
354,Papel,Piedra,Gana Jugador 1
355,Papel,Piedra,Gana Jugador 1
356,Piedra,Piedra,Empate
357,Tijera,Tijera,Empate
358,Tijera,Papel,Gana Jugador 1
359,Piedra,Papel,Gana Jugador 2
360,Papel,Papel,Empate
361,Papel,Tijera,Gana Jugador 2
362,Papel,Tijera,Gana Jugador 2
363,Piedra,Piedra,Empate
364,Tijera,Piedra,Gana Jugador 2
365,Piedra,Piedra,Empate
366,Papel,Piedra,Gana Jugador 1
367,Piedra,Tijera,Gana Jugador 1
368,Tijera,Piedra,Gana Jugador 2
369,Tijera,Tijera,Empate
370,Tijera,Tijera,Empate
371,Papel,Piedra,Gana Jugador 1
372,Tijera,Piedra,Gana Jugador 2
373,Piedra,Tijera,Gana Jugador 1
374,Piedra,Tijera,Gana Jugador 1
375,Piedra,Tijera,Gana Jugador 1
376,Tijera,Piedra,Gana Jugador 2
377,Papel,Piedra,Gana Jugador 1
378,Piedra,Tijera,Gana Jugador 1
379,Papel,Papel,Empate
380,Piedra,Tijera,Gana Jugador 1
381,Papel,Tijera,Gana Jugador 2
382,Piedra,Papel,Gana Jugador 2
383,Tijera,Tijera,Empate
384,Piedra,Papel,Gana Jugador 2
385,Piedra,Tijera,Gana Jugador 1
386,Tijera,Papel,Gana Jugador 1
387,Papel,Piedra,Gana Jugador 1
388,Papel,Tijera,Gana Jugador 2
389,Tijera,Piedra,Gana Jugador 2
390,Piedra,Tijera,Gana Jugador 1
391,Tijera,Piedra,Gana Jugador 2
392,Piedra,Papel,Gana Jugador 2
393,Piedra,Tijera,Gana Jugador 1
394,Papel,Papel,Empate
395,Piedra,Tijera,Gana Jugador 1
396,Piedra,Piedra,Empate
397,Piedra,Tijera,Gana Jugador 1
398,Tijera,Papel,Gana Jugador 1
399,Papel,Piedra,Gana Jugador 1
400,Tijera,Piedra,Gana Jugador 2
401,Tijera,Papel,Gana Jugador 1
402,Piedra,Tijera,Gana Jugador 1
403,Piedra,Tijera,Gana Jugador 1
404,Tijera,Piedra,Gana Jugador 2
405,Piedra,Papel,Gana Jugador 2
406,Tijera,Piedra,Gana Jugador 2
407,Papel,Papel,Empate
408,Piedra,Tijera,Gana Jugador 1
409,Papel,Piedra,Gana Jugador 1
410,Tijera,Papel,Gana Jugador 1
411,Piedra,Papel,Gana Jugador 2
412,Tijera,Papel,Gana Jugador 1
413,Piedra,Tijera,Gana Jugador 1
414,Papel,Piedra,Gana Jugador 1
415,Papel,Piedra,Gana Jugador 1
416,Piedra,Papel,Gana Jugador 2
417,Tijera,Papel,Gana Jugador 1
418,Piedra,Piedra,Empate
419,Piedra,Piedra,Empate
420,Papel,Papel,Empate
421,Papel,Papel,Empate
422,Tijera,Papel,Gana Jugador 1
423,Tijera,Tijera,Empate
424,Tijera,Tijera,Empate
425,Piedra,Papel,Gana Jugador 2
426,Piedra,Piedra,Empate
427,Papel,Piedra,Gana Jugador 1
428,Piedra,Papel,Gana Jugador 2
429,Piedra,Tijera,Gana Jugador 1
430,Piedra,Piedra,Empate
431,Papel,Papel,Empate
432,Tijera,Tijera,Empate
433,Piedra,Papel,Gana Jugador 2
434,Piedra,Piedra,Empate
435,Piedra,Tijera,Gana Jugador 1
436,Piedra,Papel,Gana Jugador 2
437,Papel,Piedra,Gana Jugador 1
438,Tijera,Piedra,Gana Jugador 2
439,Piedra,Piedra,Empate
440,Papel,Piedra,Gana Jugador 1
441,Tijera,Piedra,Gana Jugador 2
442,Tijera,Tijera,Empate
443,Papel,Papel,Empate
444,Papel,Piedra,Gana Jugador 1
445,Papel,Tijera,Gana Jugador 2
446,Tijera,Tijera,Empate
447,Piedra,Piedra,Empate
448,Tijera,Piedra,Gana Jugador 2
449,Piedra,Tijera,Gana Jugador 1
450,Piedra,Tijera,Gana Jugador 1
451,Piedra,Papel,Gana Jugador 2
452,Tijera,Piedra,Gana Jugador 2
453,Piedra,Papel,Gana Jugador 2
454,Papel,Piedra,Gana Jugador 1
455,Tijera,Piedra,Gana Jugador 2
456,Papel,Papel,Empate
457,Papel,Papel,Empate
458,Piedra,Tijera,Gana Jugador 1
459,Papel,Papel,Empate
460,Piedra,Tijera,Gana Jugador 1
461,Piedra,Papel,Gana Jugador 2
462,Piedra,Papel,Gana Jugador 2
463,Papel,Papel,Empate
464,Tijera,Tijera,Empate
465,Tijera,Papel,Gana Jugador 1
466,Piedra,Papel,Gana Jugador 2
467,Tijera,Papel,Gana Jugador 1
468,Piedra,Tijera,Gana Jugador 1
469,Papel,Piedra,Gana Jugador 1
470,Papel,Piedra,Gana Jugador 1
471,Piedra,Tijera,Gana Jugador 1
472,Papel,Papel,Empate
473,Piedra,Papel,Gana Jugador 2
474,Piedra,Papel,Gana Jugador 2
475,Piedra,Papel,Gana Jugador 2
476,Tijera,Piedra,Gana Jugador 2
477,Tijera,Tijera,Empate
478,Tijera,Tijera,Empate
479,Tijera,Piedra,Gana Jugador 2
480,Piedra,Tijera,Gana Jugador 1
481,Tijera,Piedra,Gana Jugador 2
482,Piedra,Tijera,Gana Jugador 1
483,Tijera,Piedra,Gana Jugador 2
484,Papel,Piedra,Gana Jugador 1
485,Tijera,Tijera,Empate
486,Papel,Tijera,Gana Jugador 2
487,Papel,Tijera,Gana Jugador 2
488,Tijera,Papel,Gana Jugador 1
489,Piedra,Papel,Gana Jugador 2
490,Tijera,Piedra,Gana Jugador 2
491,Tijera,Piedra,Gana Jugador 2
492,Tijera,Tijera,Empate
493,Piedra,Tijera,Gana Jugador 1
494,Papel,Papel,Empate
495,Papel,Papel,Empate
496,Papel,Tijera,Gana Jugador 2
497,Piedra,Tijera,Gana Jugador 1
498,Piedra,Piedra,Empate
499,Piedra,Tijera,Gana Jugador 1
500,Piedra,Tijera,Gana Jugador 1
501,Piedra,Papel,Gana Jugador 2
502,Piedra,Tijera,Gana Jugador 1
503,Tijera,Papel,Gana Jugador 1
504,Tijera,Piedra,Gana Jugador 2
505,Tijera,Papel,Gana Jugador 1
506,Papel,Tijera,Gana Jugador 2
507,Piedra,Tijera,Gana Jugador 1
508,Piedra,Piedra,Empate
509,Piedra,Piedra,Empate
510,Tijera,Piedra,Gana Jugador 2
511,Papel,Piedra,Gana Jugador 1
512,Tijera,Piedra,Gana Jugador 2
513,Tijera,Piedra,Gana Jugador 2
514,Tijera,Tijera,Empate
515,Piedra,Papel,Gana Jugador 2
516,Piedra,Tijera,Gana Jugador 1
517,Papel,Papel,Empate
518,Papel,Papel,Empate
519,Papel,Tijera,Gana Jugador 2
520,Tijera,Tijera,Empate
521,Tijera,Tijera,Empate
522,Papel,Piedra,Gana Jugador 1
523,Piedra,Piedra,Empate
524,Papel,Papel,Empate
525,Papel,Tijera,Gana Jugador 2
526,Piedra,Piedra,Empate
527,Tijera,Papel,Gana Jugador 1
528,Piedra,Papel,Gana Jugador 2
529,Tijera,Papel,Gana Jugador 1
530,Papel,Piedra,Gana Jugador 1
531,Piedra,Tijera,Gana Jugador 1
532,Papel,Papel,Empate
533,Papel,Tijera,Gana Jugador 2
534,Tijera,Tijera,Empate
535,Papel,Papel,Empate
536,Papel,Piedra,Gana Jugador 1
537,Papel,Tijera,Gana Jugador 2
538,Tijera,Papel,Gana Jugador 1
539,Papel,Papel,Empate
540,Tijera,Piedra,Gana Jugador 2
541,Tijera,Piedra,Gana Jugador 2
542,Papel,Tijera,Gana Jugador 2
543,Piedra,Piedra,Empate
544,Tijera,Tijera,Empate
545,Tijera,Piedra,Gana Jugador 2
546,Tijera,Piedra,Gana Jugador 2
547,Papel,Tijera,Gana Jugador 2
548,Piedra,Piedra,Empate
549,Piedra,Piedra,Empate
550,Piedra,Tijera,Gana Jugador 1
551,Papel,Piedra,Gana Jugador 1
552,Tijera,Papel,Gana Jugador 1
553,Tijera,Piedra,Gana Jugador 2
554,Piedra,Piedra,Empate
555,Tijera,Tijera,Empate
556,Piedra,Papel,Gana Jugador 2
557,Piedra,Tijera,Gana Jugador 1
558,Tijera,Papel,Gana Jugador 1
559,Piedra,Piedra,Empate
560,Papel,Papel,Empate
561,Piedra,Papel,Gana Jugador 2
562,Piedra,Tijera,Gana Jugador 1
563,Tijera,Piedra,Gana Jugador 2
564,Papel,Papel,Empate
565,Piedra,Tijera,Gana Jugador 1
566,Piedra,Papel,Gana Jugador 2
567,Papel,Piedra,Gana Jugador 1
568,Piedra,Papel,Gana Jugador 2
569,Papel,Papel,Empate
570,Papel,Papel,Empate
571,Papel,Piedra,Gana Jugador 1
572,Tijera,Piedra,Gana Jugador 2
573,Tijera,Tijera,Empate
574,Papel,Tijera,Gana Jugador 2
575,Tijera,Papel,Gana Jugador 1
576,Papel,Papel,Empate
577,Papel,Tijera,Gana Jugador 2
578,Tijera,Papel,Gana Jugador 1
579,Papel,Papel,Empate
580,Papel,Papel,Empate
581,Tijera,Tijera,Empate
582,Papel,Tijera,Gana Jugador 2
583,Papel,Tijera,Gana Jugador 2
584,Tijera,Papel,Gana Jugador 1
585,Tijera,Piedra,Gana Jugador 2
586,Piedra,Piedra,Empate
587,Tijera,Piedra,Gana Jugador 2
588,Piedra,Papel,Gana Jugador 2
589,Piedra,Tijera,Gana Jugador 1
590,Papel,Papel,Empate
591,Tijera,Papel,Gana Jugador 1
592,Piedra,Papel,Gana Jugador 2
593,Piedra,Papel,Gana Jugador 2
594,Tijera,Papel,Gana Jugador 1
595,Tijera,Papel,Gana Jugador 1
596,Papel,Papel,Empate
597,Tijera,Tijera,Empate
598,Piedra,Papel,Gana Jugador 2
599,Papel,Piedra,Gana Jugador 1
600,Tijera,Tijera,Empate
601,Tijera,Tijera,Empate
602,Papel,Piedra,Gana Jugador 1
603,Papel,Piedra,Gana Jugador 1
604,Papel,Tijera,Gana Jugador 2
605,Papel,Piedra,Gana Jugador 1
606,Piedra,Tijera,Gana Jugador 1
607,Piedra,Tijera,Gana Jugador 1
608,Piedra,Tijera,Gana Jugador 1
609,Tijera,Piedra,Gana Jugador 2
610,Tijera,Piedra,Gana Jugador 2
611,Tijera,Piedra,Gana Jugador 2
612,Papel,Papel,Empate
613,Tijera,Tijera,Empate
614,Tijera,Piedra,Gana Jugador 2
615,Piedra,Piedra,Empate
616,Papel,Papel,Empate
617,Piedra,Piedra,Empate
618,Papel,Papel,Empate
619,Tijera,Papel,Gana Jugador 1
620,Piedra,Papel,Gana Jugador 2
621,Piedra,Papel,Gana Jugador 2
622,Piedra,Piedra,Empate
623,Tijera,Tijera,Empate
624,Piedra,Tijera,Gana Jugador 1
625,Papel,Papel,Empate
626,Piedra,Tijera,Gana Jugador 1
627,Tijera,Tijera,Empate
628,Papel,Papel,Empate
629,Piedra,Papel,Gana Jugador 2
630,Tijera,Tijera,Empate
631,Papel,Piedra,Gana Jugador 1
632,Piedra,Tijera,Gana Jugador 1
633,Piedra,Papel,Gana Jugador 2
634,Piedra,Tijera,Gana Jugador 1
635,Piedra,Piedra,Empate
636,Papel,Papel,Empate
637,Tijera,Tijera,Empate
638,Papel,Tijera,Gana Jugador 2
639,Papel,Piedra,Gana Jugador 1
640,Tijera,Tijera,Empate
641,Tijera,Tijera,Empate
642,Papel,Papel,Empate
643,Papel,Papel,Empate
644,Papel,Papel,Empate
645,Tijera,Tijera,Empate
646,Papel,Piedra,Gana Jugador 1
647,Tijera,Tijera,Empate
648,Tijera,Papel,Gana Jugador 1
649,Piedra,Papel,Gana Jugador 2
650,Tijera,Tijera,Empate
651,Papel,Piedra,Gana Jugador 1
652,Piedra,Piedra,Empate
653,Piedra,Piedra,Empate
654,Piedra,Tijera,Gana Jugador 1
655,Piedra,Papel,Gana Jugador 2
656,Tijera,Papel,Gana Jugador 1
657,Piedra,Tijera,Gana Jugador 1
658,Piedra,Piedra,Empate
659,Tijera,Papel,Gana Jugador 1
660,Tijera,Tijera,Empate
661,Piedra,Piedra,Empate
662,Piedra,Papel,Gana Jugador 2
663,Piedra,Piedra,Empate
664,Papel,Piedra,Gana Jugador 1
665,Piedra,Papel,Gana Jugador 2
666,Piedra,Piedra,Empate
667,Piedra,Papel,Gana Jugador 2
668,Tijera,Tijera,Empate
669,Tijera,Papel,Gana Jugador 1
670,Papel,Piedra,Gana Jugador 1
671,Tijera,Tijera,Empate
672,Tijera,Piedra,Gana Jugador 2
673,Papel,Piedra,Gana Jugador 1
674,Tijera,Tijera,Empate
675,Papel,Piedra,Gana Jugador 1
676,Tijera,Tijera,Empate
677,Piedra,Tijera,Gana Jugador 1
678,Tijera,Piedra,Gana Jugador 2
679,Tijera,Tijera,Empate
680,Papel,Papel,Empate
681,Tijera,Papel,Gana Jugador 1
682,Papel,Papel,Empate
683,Papel,Tijera,Gana Jugador 2
684,Papel,Papel,Empate
685,Papel,Piedra,Gana Jugador 1
686,Papel,Piedra,Gana Jugador 1
687,Piedra,Piedra,Empate
688,Papel,Piedra,Gana Jugador 1
689,Papel,Tijera,Gana Jugador 2
690,Piedra,Tijera,Gana Jugador 1
691,Papel,Tijera,Gana Jugador 2
692,Papel,Tijera,Gana Jugador 2
693,Piedra,Piedra,Empate
694,Papel,Piedra,Gana Jugador 1
695,Tijera,Tijera,Empate
696,Tijera,Papel,Gana Jugador 1
697,Tijera,Tijera,Empate
698,Piedra,Papel,Gana Jugador 2
699,Papel,Piedra,Gana Jugador 1
700,Tijera,Papel,Gana Jugador 1
701,Papel,Tijera,Gana Jugador 2
702,Papel,Papel,Empate
703,Piedra,Piedra,Empate
704,Piedra,Papel,Gana Jugador 2
705,Papel,Piedra,Gana Jugador 1
706,Papel,Tijera,Gana Jugador 2
707,Piedra,Papel,Gana Jugador 2
708,Tijera,Papel,Gana Jugador 1
709,Piedra,Piedra,Empate
710,Tijera,Piedra,Gana Jugador 2
711,Piedra,Tijera,Gana Jugador 1
712,Papel,Piedra,Gana Jugador 1
713,Tijera,Tijera,Empate
714,Piedra,Tijera,Gana Jugador 1
715,Papel,Piedra,Gana Jugador 1
716,Papel,Papel,Empate
717,Tijera,Papel,Gana Jugador 1
718,Piedra,Papel,Gana Jugador 2
719,Papel,Tijera,Gana Jugador 2
720,Tijera,Piedra,Gana Jugador 2
721,Piedra,Piedra,Empate
722,Papel,Tijera,Gana Jugador 2
723,Piedra,Papel,Gana Jugador 2
724,Piedra,Piedra,Empate
725,Piedra,Piedra,Empate
726,Papel,Papel,Empate
